FinancialYear,Quarter,OrgCode,OrgName,Measure,Value
2021-2022,1,E54000032,Kent and Medway,Women whose smoking status was not known at time of delivery,9
2021-2022,1,E54000034,Frimley Health and Care ICS,Number of maternities,1973
2021-2022,1,E54000034,Frimley Health and Care ICS,Women known to be non-smokers at time of delivery,1862
2021-2022,1,E54000034,Frimley Health and Care ICS,Women known to be smokers at time of delivery,107
2021-2022,1,E54000034,Frimley Health and Care ICS,Women whose smoking status was not known at time of delivery,4
2021-2022,1,E54000042,Hampshire and the Isle of Wight,Number of maternities,4253
2021-2022,1,E54000042,Hampshire and the Isle of Wight,Women known to be non-smokers at time of delivery,3658
2021-2022,1,E54000042,Hampshire and the Isle of Wight,Women known to be smokers at time of delivery,409
2021-2022,1,E54000042,Hampshire and the Isle of Wight,Women whose smoking status was not known at time of delivery,186
2021-2022,1,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West",Number of maternities,4146
2021-2022,1,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West",Women known to be non-smokers at time of delivery,3832
2021-2022,1,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West",Women known to be smokers at time of delivery,240
2021-2022,1,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West",Women whose smoking status was not known at time of delivery,74
2021-2022,1,E54000052,Surrey Heartlands Health and Care Partnership,Number of maternities,2416
2021-2022,1,E54000052,Surrey Heartlands Health and Care Partnership,Women known to be non-smokers at time of delivery,2265
2021-2022,1,E54000052,Surrey Heartlands Health and Care Partnership,Women known to be smokers at time of delivery,144
2021-2022,1,E54000052,Surrey Heartlands Health and Care Partnership,Women whose smoking status was not known at time of delivery,7
2021-2022,1,E54000053,Sussex Health and Care Partnership,Number of maternities,3697
2021-2022,1,E54000053,Sussex Health and Care Partnership,Women known to be non-smokers at time of delivery,3232
2021-2022,1,E54000053,Sussex Health and Care Partnership,Women known to be smokers at time of delivery,316
2021-2022,1,E54000053,Sussex Health and Care Partnership,Women whose smoking status was not known at time of delivery,149
2021-2022,1,E54000036,Cornwall and the Isles of Scilly Health and Social Care Partnership,Number of maternities,1145
2021-2022,1,E54000036,Cornwall and the Isles of Scilly Health and Social Care Partnership,Women known to be non-smokers at time of delivery,1002
2021-2022,1,E54000036,Cornwall and the Isles of Scilly Health and Social Care Partnership,Women known to be smokers at time of delivery,133
2021-2022,1,E54000036,Cornwall and the Isles of Scilly Health and Social Care Partnership,Women whose smoking status was not known at time of delivery,10
2021-2022,1,E54000037,Devon,Number of maternities,2460
2021-2022,1,E54000037,Devon,Women known to be non-smokers at time of delivery,2021
2021-2022,1,E54000037,Devon,Women known to be smokers at time of delivery,320
2021-2022,1,E54000037,Devon,Women whose smoking status was not known at time of delivery,119
2021-2022,1,E54000038,Somerset,Number of maternities,1209
2021-2022,1,E54000038,Somerset,Women known to be non-smokers at time of delivery,1061
2021-2022,1,E54000038,Somerset,Women known to be smokers at time of delivery,126
2021-2022,1,E54000038,Somerset,Women whose smoking status was not known at time of delivery,22
2021-2022,1,E54000039,"Bristol, North Somerset and South Gloucestershire",Number of maternities,2488
2021-2022,1,E54000039,"Bristol, North Somerset and South Gloucestershire",Women known to be non-smokers at time of delivery,2269
2021-2022,1,E54000039,"Bristol, North Somerset and South Gloucestershire",Women known to be smokers at time of delivery,218
2021-2022,1,E54000039,"Bristol, North Somerset and South Gloucestershire",Women whose smoking status was not known at time of delivery,1
2021-2022,1,E54000040,"Bath and North East Somerset, Swindon and Wiltshire",Number of maternities,2093
2021-2022,1,E54000040,"Bath and North East Somerset, Swindon and Wiltshire",Women known to be non-smokers at time of delivery,1908
2021-2022,1,E54000040,"Bath and North East Somerset, Swindon and Wiltshire",Women known to be smokers at time of delivery,185
2021-2022,1,E54000040,"Bath and North East Somerset, Swindon and Wiltshire",Women whose smoking status was not known at time of delivery,0
2021-2022,1,E54000041,Dorset,Number of maternities,1573
2021-2022,1,E54000041,Dorset,Women known to be non-smokers at time of delivery,1347
2021-2022,1,E54000041,Dorset,Women known to be smokers at time of delivery,153
2021-2022,1,E54000041,Dorset,Women whose smoking status was not known at time of delivery,73
2021-2022,1,E54000043,Gloucestershire,Number of maternities,1399
2021-2022,1,E54000043,Gloucestershire,Women known to be non-smokers at time of delivery,1242
2021-2022,1,E54000043,Gloucestershire,Women known to be smokers at time of delivery,125
2021-2022,1,E54000043,Gloucestershire,Women whose smoking status was not known at time of delivery,32
2021-2022,1,E54000021,Cambridgeshire and Peterborough,Number of maternities,2419
2021-2022,1,E54000021,Cambridgeshire and Peterborough,Women known to be non-smokers at time of delivery,2077
2021-2022,1,E54000021,Cambridgeshire and Peterborough,Women known to be smokers at time of delivery,222
2021-2022,1,E54000021,Cambridgeshire and Peterborough,Women whose smoking status was not known at time of delivery,120
2021-2022,1,E54000022,Norfolk and Waveney Health and Care Partnership,Number of maternities,2149
2021-2022,1,E54000022,Norfolk and Waveney Health and Care Partnership,Women known to be non-smokers at time of delivery,1891
2021-2022,1,E54000022,Norfolk and Waveney Health and Care Partnership,Women known to be smokers at time of delivery,248
2021-2022,1,E54000022,Norfolk and Waveney Health and Care Partnership,Women whose smoking status was not known at time of delivery,10
2021-2022,1,E54000023,Suffolk and North East Essex,Number of maternities,2123
2021-2022,1,E54000023,Suffolk and North East Essex,Women known to be non-smokers at time of delivery,1899
2021-2022,1,E54000023,Suffolk and North East Essex,Women known to be smokers at time of delivery,176
2021-2022,1,E54000023,Suffolk and North East Essex,Women whose smoking status was not known at time of delivery,48
2021-2022,1,E54000024,"Bedfordshire, Luton and Milton Keynes",Number of maternities,2925
2021-2022,1,E54000024,"Bedfordshire, Luton and Milton Keynes",Women known to be non-smokers at time of delivery,2363
2021-2022,1,E54000024,"Bedfordshire, Luton and Milton Keynes",Women known to be smokers at time of delivery,215
2021-2022,1,E54000024,"Bedfordshire, Luton and Milton Keynes",Women whose smoking status was not known at time of delivery,347
2021-2022,1,E54000025,Hertfordshire and West Essex,Number of maternities,3081
2021-2022,1,E54000025,Hertfordshire and West Essex,Women known to be non-smokers at time of delivery,2892
2021-2022,1,E54000025,Hertfordshire and West Essex,Women known to be smokers at time of delivery,164
2021-2022,1,E54000025,Hertfordshire and West Essex,Women whose smoking status was not known at time of delivery,25
2021-2022,1,E54000026,Mid and South Essex,Number of maternities,2756
2021-2022,1,E54000026,Mid and South Essex,Women known to be non-smokers at time of delivery,2494
2021-2022,1,E54000026,Mid and South Essex,Women known to be smokers at time of delivery,202
2021-2022,1,E54000026,Mid and South Essex,Women whose smoking status was not known at time of delivery,60
2021-2022,1,E54000010,Staffordshire and Stoke on Trent,Number of maternities,2577
2021-2022,1,E54000010,Staffordshire and Stoke on Trent,Women known to be non-smokers at time of delivery,2253
2021-2022,1,E54000010,Staffordshire and Stoke on Trent,Women known to be smokers at time of delivery,311
2021-2022,1,E54000010,Staffordshire and Stoke on Trent,Women whose smoking status was not known at time of delivery,13
2021-2022,1,E54000011,Shropshire and Telford and Wrekin,Number of maternities,1064
2021-2022,1,E54000011,Shropshire and Telford and Wrekin,Women known to be non-smokers at time of delivery,922
2021-2022,1,E54000011,Shropshire and Telford and Wrekin,Women known to be smokers at time of delivery,139
2021-2022,1,E54000011,Shropshire and Telford and Wrekin,Women whose smoking status was not known at time of delivery,3
2021-2022,1,E54000012,Joined Up Care Derbyshire,Number of maternities,2325
2021-2022,1,E54000012,Joined Up Care Derbyshire,Women known to be non-smokers at time of delivery,2089
2021-2022,1,E54000012,Joined Up Care Derbyshire,Women known to be smokers at time of delivery,233
2021-2022,1,E54000012,Joined Up Care Derbyshire,Women whose smoking status was not known at time of delivery,3
2021-2022,1,E54000013,Lincolnshire,Number of maternities,1534
2021-2022,1,E54000013,Lincolnshire,Women known to be non-smokers at time of delivery,1244
2021-2022,1,E54000013,Lincolnshire,Women known to be smokers at time of delivery,233
2021-2022,1,E54000013,Lincolnshire,Women whose smoking status was not known at time of delivery,57
2021-2022,1,E54000014,Nottingham and Nottinghamshire Health and Care,Number of maternities,1908
2021-2022,1,E54000014,Nottingham and Nottinghamshire Health and Care,Women known to be non-smokers at time of delivery,1617
2021-2022,1,E54000014,Nottingham and Nottinghamshire Health and Care,Women known to be smokers at time of delivery,256
2021-2022,1,E54000014,Nottingham and Nottinghamshire Health and Care,Women whose smoking status was not known at time of delivery,35
2021-2022,1,E54000015,"Leicester, Leicestershire and Rutland",Number of maternities,2156
2021-2022,1,E54000015,"Leicester, Leicestershire and Rutland",Women known to be non-smokers at time of delivery,1973
2021-2022,1,E54000015,"Leicester, Leicestershire and Rutland",Women known to be smokers at time of delivery,183
2021-2022,1,E54000015,"Leicester, Leicestershire and Rutland",Women whose smoking status was not known at time of delivery,0
2021-2022,1,E54000016,The Black Country and West Birmingham,Number of maternities,4075
2021-2022,1,E54000016,The Black Country and West Birmingham,Women known to be non-smokers at time of delivery,3644
2021-2022,1,E54000016,The Black Country and West Birmingham,Women known to be smokers at time of delivery,400
2021-2022,1,E54000016,The Black Country and West Birmingham,Women whose smoking status was not known at time of delivery,31
2021-2022,1,E54000017,Birmingham and Solihull,Number of maternities,3599
2021-2022,1,E54000017,Birmingham and Solihull,Women known to be non-smokers at time of delivery,3238
2021-2022,1,E54000017,Birmingham and Solihull,Women known to be smokers at time of delivery,301
2021-2022,1,E54000017,Birmingham and Solihull,Women whose smoking status was not known at time of delivery,60
2021-2022,1,E54000018,Coventry and Warwickshire,Number of maternities,2355
2021-2022,1,E54000018,Coventry and Warwickshire,Women known to be non-smokers at time of delivery,2064
2021-2022,1,E54000018,Coventry and Warwickshire,Women known to be smokers at time of delivery,226
2021-2022,1,E54000018,Coventry and Warwickshire,Women whose smoking status was not known at time of delivery,65
2021-2022,1,E54000019,Herefordshire and Worcestershire,Number of maternities,1657
2021-2022,1,E54000019,Herefordshire and Worcestershire,Women known to be non-smokers at time of delivery,1387
2021-2022,1,E54000019,Herefordshire and Worcestershire,Women known to be smokers at time of delivery,174
2021-2022,1,E54000019,Herefordshire and Worcestershire,Women whose smoking status was not known at time of delivery,96
2021-2022,1,E54000020,Northamptonshire,Number of maternities,1926
2021-2022,1,E54000020,Northamptonshire,Women known to be non-smokers at time of delivery,1685
2021-2022,1,E54000020,Northamptonshire,Women known to be smokers at time of delivery,229
2021-2022,1,E54000020,Northamptonshire,Women whose smoking status was not known at time of delivery,12
2021-2022,1,E54000009,South Yorkshire and Bassetlaw,Number of maternities,3587
2021-2022,1,E54000009,South Yorkshire and Bassetlaw,Women known to be non-smokers at time of delivery,3156
2021-2022,1,E54000009,South Yorkshire and Bassetlaw,Women known to be smokers at time of delivery,390
2021-2022,1,E54000009,South Yorkshire and Bassetlaw,Women whose smoking status was not known at time of delivery,41
2021-2022,1,E54000050,Cumbria and North East,Number of maternities,6699
2021-2022,1,E54000050,Cumbria and North East,Women known to be non-smokers at time of delivery,5116
2021-2022,1,E54000050,Cumbria and North East,Women known to be smokers at time of delivery,750
2021-2022,1,E54000050,Cumbria and North East,Women whose smoking status was not known at time of delivery,833
2021-2022,1,E54000051,"Humber, Coast and Vale",Number of maternities,3660
2021-2022,1,E54000051,"Humber, Coast and Vale",Women known to be non-smokers at time of delivery,3158
2021-2022,1,E54000051,"Humber, Coast and Vale",Women known to be smokers at time of delivery,482
2021-2022,1,E54000051,"Humber, Coast and Vale",Women whose smoking status was not known at time of delivery,20
2021-2022,1,E54000054,West Yorkshire and Harrogate (Health and Care Partnership),Number of maternities,6240
2021-2022,1,E54000054,West Yorkshire and Harrogate (Health and Care Partnership),Women known to be non-smokers at time of delivery,5435
2021-2022,1,E54000054,West Yorkshire and Harrogate (Health and Care Partnership),Women known to be smokers at time of delivery,753
2021-2022,1,E54000054,West Yorkshire and Harrogate (Health and Care Partnership),Women whose smoking status was not known at time of delivery,52
2021-2022,1,E54000007,Greater Manchester Health and Social Care Partnership,Number of maternities,8655
2021-2022,1,E54000007,Greater Manchester Health and Social Care Partnership,Women known to be non-smokers at time of delivery,7801
2021-2022,1,E54000007,Greater Manchester Health and Social Care Partnership,Women known to be smokers at time of delivery,850
2021-2022,1,E54000007,Greater Manchester Health and Social Care Partnership,Women whose smoking status was not known at time of delivery,4
2021-2022,1,E54000008,Cheshire and Merseyside,Number of maternities,5699
2021-2022,1,E54000008,Cheshire and Merseyside,Women known to be non-smokers at time of delivery,4994
2021-2022,1,E54000008,Cheshire and Merseyside,Women known to be smokers at time of delivery,625
2021-2022,1,E54000008,Cheshire and Merseyside,Women whose smoking status was not known at time of delivery,80
2021-2022,1,E54000048,Healthier Lancashire and South Cumbria,Number of maternities,3975
2021-2022,1,E54000048,Healthier Lancashire and South Cumbria,Women known to be non-smokers at time of delivery,3117
2021-2022,1,E54000048,Healthier Lancashire and South Cumbria,Women known to be smokers at time of delivery,480
2021-2022,1,E54000048,Healthier Lancashire and South Cumbria,Women whose smoking status was not known at time of delivery,378
2021-2022,1,E38000256,NHS North West London CCG,Number of maternities,5387
2021-2022,1,E38000256,NHS North West London CCG,Women known to be non-smokers at time of delivery,5183
2021-2022,1,E38000256,NHS North West London CCG,Women known to be smokers at time of delivery,199
2021-2022,1,E38000256,NHS North West London CCG,Women whose smoking status was not known at time of delivery,5
2021-2022,1,E38000240,NHS North Central London CCG,Number of maternities,4017
2021-2022,1,E38000240,NHS North Central London CCG,Women known to be non-smokers at time of delivery,3774
2021-2022,1,E38000240,NHS North Central London CCG,Women known to be smokers at time of delivery,205
2021-2022,1,E38000240,NHS North Central London CCG,Women whose smoking status was not known at time of delivery,38
2021-2022,1,E38000255,NHS North East London CCG,Number of maternities,6772
2021-2022,1,E38000255,NHS North East London CCG,Women known to be non-smokers at time of delivery,6464
2021-2022,1,E38000255,NHS North East London CCG,Women known to be smokers at time of delivery,299
2021-2022,1,E38000255,NHS North East London CCG,Women whose smoking status was not known at time of delivery,9
2021-2022,1,E38000244,NHS South East London CCG,Number of maternities,4096
2021-2022,1,E38000244,NHS South East London CCG,Women known to be non-smokers at time of delivery,3899
2021-2022,1,E38000244,NHS South East London CCG,Women known to be smokers at time of delivery,189
2021-2022,1,E38000244,NHS South East London CCG,Women whose smoking status was not known at time of delivery,8
2021-2022,1,E38000245,NHS South West London CCG,Number of maternities,3880
2021-2022,1,E38000245,NHS South West London CCG,Women known to be non-smokers at time of delivery,3662
2021-2022,1,E38000245,NHS South West London CCG,Women known to be smokers at time of delivery,197
2021-2022,1,E38000245,NHS South West London CCG,Women whose smoking status was not known at time of delivery,21
2021-2022,1,E38000237,NHS Kent and Medway CCG,Number of maternities,3618
2021-2022,1,E38000237,NHS Kent and Medway CCG,Women known to be non-smokers at time of delivery,3210
2021-2022,1,E38000237,NHS Kent and Medway CCG,Women known to be smokers at time of delivery,399
2021-2022,1,E38000237,NHS Kent and Medway CCG,Women whose smoking status was not known at time of delivery,9
2021-2022,1,E38000252,NHS Frimley CCG,Number of maternities,1973
2021-2022,1,E38000252,NHS Frimley CCG,Women known to be non-smokers at time of delivery,1862
2021-2022,1,E38000252,NHS Frimley CCG,Women known to be smokers at time of delivery,107
2021-2022,1,E38000252,NHS Frimley CCG,Women whose smoking status was not known at time of delivery,4
2021-2022,1,E38000137,NHS Portsmouth CCG,Number of maternities,600
2021-2022,1,E38000137,NHS Portsmouth CCG,Women known to be non-smokers at time of delivery,465
2021-2022,1,E38000137,NHS Portsmouth CCG,Women known to be smokers at time of delivery,57
2021-2022,1,E38000137,NHS Portsmouth CCG,Women whose smoking status was not known at time of delivery,78
2021-2022,1,E38000253,"NHS Hampshire, Southampton and Isle of Wight CCG",Number of maternities,3653
2021-2022,1,E38000253,"NHS Hampshire, Southampton and Isle of Wight CCG",Women known to be non-smokers at time of delivery,3193
2021-2022,1,E38000253,"NHS Hampshire, Southampton and Isle of Wight CCG",Women known to be smokers at time of delivery,352
2021-2022,1,E38000253,"NHS Hampshire, Southampton and Isle of Wight CCG",Women whose smoking status was not known at time of delivery,108
2021-2022,1,E38000136,NHS Oxfordshire CCG,Number of maternities,1539
2021-2022,1,E38000136,NHS Oxfordshire CCG,Women known to be non-smokers at time of delivery,1449
2021-2022,1,E38000136,NHS Oxfordshire CCG,Women known to be smokers at time of delivery,83
2021-2022,1,E38000136,NHS Oxfordshire CCG,Women whose smoking status was not known at time of delivery,7
2021-2022,1,E38000221,NHS Berkshire West CCG,Number of maternities,1262
2021-2022,1,E38000221,NHS Berkshire West CCG,Women known to be non-smokers at time of delivery,1143
2021-2022,1,E38000221,NHS Berkshire West CCG,Women known to be smokers at time of delivery,61
2021-2022,1,E38000221,NHS Berkshire West CCG,Women whose smoking status was not known at time of delivery,58
2021-2022,1,E38000223,NHS Buckinghamshire CCG,Number of maternities,1345
2021-2022,1,E38000223,NHS Buckinghamshire CCG,Women known to be non-smokers at time of delivery,1240
2021-2022,1,E38000223,NHS Buckinghamshire CCG,Women known to be smokers at time of delivery,96
2021-2022,1,E38000223,NHS Buckinghamshire CCG,Women whose smoking status was not known at time of delivery,9
2021-2022,1,E38000246,NHS Surrey Heartlands CCG,Number of maternities,2416
2021-2022,1,E38000246,NHS Surrey Heartlands CCG,Women known to be non-smokers at time of delivery,2265
2021-2022,1,E38000246,NHS Surrey Heartlands CCG,Women known to be smokers at time of delivery,144
2021-2022,1,E38000246,NHS Surrey Heartlands CCG,Women whose smoking status was not known at time of delivery,7
2021-2022,1,E38000021,NHS Brighton and Hove CCG,Number of maternities,588
2021-2022,1,E38000021,NHS Brighton and Hove CCG,Women known to be non-smokers at time of delivery,510
2021-2022,1,E38000021,NHS Brighton and Hove CCG,Women known to be smokers at time of delivery,35
2021-2022,1,E38000021,NHS Brighton and Hove CCG,Women whose smoking status was not known at time of delivery,43
2021-2022,1,E38000235,NHS East Sussex CCG,Number of maternities,1088
2021-2022,1,E38000235,NHS East Sussex CCG,Women known to be non-smokers at time of delivery,952
2021-2022,1,E38000235,NHS East Sussex CCG,Women known to be smokers at time of delivery,114
2021-2022,1,E38000235,NHS East Sussex CCG,Women whose smoking status was not known at time of delivery,22
2021-2022,1,E38000248,NHS West Sussex CCG,Number of maternities,2021
2021-2022,1,E38000248,NHS West Sussex CCG,Women known to be non-smokers at time of delivery,1770
2021-2022,1,E38000248,NHS West Sussex CCG,Women known to be smokers at time of delivery,167
2021-2022,1,E38000248,NHS West Sussex CCG,Women whose smoking status was not known at time of delivery,84
2021-2022,1,E38000089,NHS Kernow CCG,Number of maternities,1145
2021-2022,1,E38000089,NHS Kernow CCG,Women known to be non-smokers at time of delivery,1002
2021-2022,1,E38000089,NHS Kernow CCG,Women known to be smokers at time of delivery,133
2021-2022,1,E38000089,NHS Kernow CCG,Women whose smoking status was not known at time of delivery,10
2021-2022,1,E38000230,NHS Devon CCG,Number of maternities,2460
2021-2022,1,E38000230,NHS Devon CCG,Women known to be non-smokers at time of delivery,2021
2021-2022,1,E38000230,NHS Devon CCG,Women known to be smokers at time of delivery,320
2021-2022,1,E38000230,NHS Devon CCG,Women whose smoking status was not known at time of delivery,119
2021-2022,1,E38000150,NHS Somerset CCG,Number of maternities,1209
2021-2022,1,E38000150,NHS Somerset CCG,Women known to be non-smokers at time of delivery,1061
2021-2022,1,E38000150,NHS Somerset CCG,Women known to be smokers at time of delivery,126
2021-2022,1,E38000150,NHS Somerset CCG,Women whose smoking status was not known at time of delivery,22
2021-2022,1,E38000222,"NHS Bristol, North Somerset and South Gloucestershire CCG",Number of maternities,2488
2021-2022,1,E38000222,"NHS Bristol, North Somerset and South Gloucestershire CCG",Women known to be non-smokers at time of delivery,2269
2021-2022,1,E38000222,"NHS Bristol, North Somerset and South Gloucestershire CCG",Women known to be smokers at time of delivery,218
2021-2022,1,E38000222,"NHS Bristol, North Somerset and South Gloucestershire CCG",Women whose smoking status was not known at time of delivery,1
2021-2022,1,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",Number of maternities,2093
2021-2022,1,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",Women known to be non-smokers at time of delivery,1908
2021-2022,1,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",Women known to be smokers at time of delivery,185
2021-2022,1,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",Women whose smoking status was not known at time of delivery,0
2021-2022,1,E38000045,NHS Dorset CCG,Number of maternities,1573
2021-2022,1,E38000045,NHS Dorset CCG,Women known to be non-smokers at time of delivery,1347
2021-2022,1,E38000045,NHS Dorset CCG,Women known to be smokers at time of delivery,153
2021-2022,1,E38000045,NHS Dorset CCG,Women whose smoking status was not known at time of delivery,73
2021-2022,1,E38000062,NHS Gloucestershire CCG,Number of maternities,1399
2021-2022,1,E38000062,NHS Gloucestershire CCG,Women known to be non-smokers at time of delivery,1242
2021-2022,1,E38000062,NHS Gloucestershire CCG,Women known to be smokers at time of delivery,125
2021-2022,1,E38000062,NHS Gloucestershire CCG,Women whose smoking status was not known at time of delivery,32
2021-2022,1,E38000026,NHS Cambridgeshire and Peterborough CCG,Number of maternities,2419
2021-2022,1,E38000026,NHS Cambridgeshire and Peterborough CCG,Women known to be non-smokers at time of delivery,2077
2021-2022,1,E38000026,NHS Cambridgeshire and Peterborough CCG,Women known to be smokers at time of delivery,222
2021-2022,1,E38000026,NHS Cambridgeshire and Peterborough CCG,Women whose smoking status was not known at time of delivery,120
2021-2022,1,E38000239,NHS Norfolk and Waveney CCG,Number of maternities,2149
2021-2022,1,E38000239,NHS Norfolk and Waveney CCG,Women known to be non-smokers at time of delivery,1891
2021-2022,1,E38000239,NHS Norfolk and Waveney CCG,Women known to be smokers at time of delivery,248
2021-2022,1,E38000239,NHS Norfolk and Waveney CCG,Women whose smoking status was not known at time of delivery,10
2021-2022,1,E38000086,NHS Ipswich and East Suffolk CCG,Number of maternities,828
2021-2022,1,E38000086,NHS Ipswich and East Suffolk CCG,Women known to be non-smokers at time of delivery,782
2021-2022,1,E38000086,NHS Ipswich and East Suffolk CCG,Women known to be smokers at time of delivery,46
2021-2022,1,E38000086,NHS Ipswich and East Suffolk CCG,Women whose smoking status was not known at time of delivery,0
2021-2022,1,E38000117,NHS North East Essex CCG,Number of maternities,773
2021-2022,1,E38000117,NHS North East Essex CCG,Women known to be non-smokers at time of delivery,678
2021-2022,1,E38000117,NHS North East Essex CCG,Women known to be smokers at time of delivery,95
2021-2022,1,E38000117,NHS North East Essex CCG,Women whose smoking status was not known at time of delivery,0
2021-2022,1,E38000204,NHS West Suffolk CCG,Number of maternities,522
2021-2022,1,E38000204,NHS West Suffolk CCG,Women known to be non-smokers at time of delivery,439
2021-2022,1,E38000204,NHS West Suffolk CCG,Women known to be smokers at time of delivery,35
2021-2022,1,E38000204,NHS West Suffolk CCG,Women whose smoking status was not known at time of delivery,48
2021-2022,1,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",Number of maternities,2925
2021-2022,1,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",Women known to be non-smokers at time of delivery,2363
2021-2022,1,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",Women known to be smokers at time of delivery,215
2021-2022,1,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",Women whose smoking status was not known at time of delivery,347
2021-2022,1,E38000049,NHS East and North Hertfordshire CCG,Number of maternities,1466
2021-2022,1,E38000049,NHS East and North Hertfordshire CCG,Women known to be non-smokers at time of delivery,1346
2021-2022,1,E38000049,NHS East and North Hertfordshire CCG,Women known to be smokers at time of delivery,100
2021-2022,1,E38000049,NHS East and North Hertfordshire CCG,Women whose smoking status was not known at time of delivery,20
2021-2022,1,E38000079,NHS Herts Valleys CCG,Number of maternities,1615
2021-2022,1,E38000079,NHS Herts Valleys CCG,Women known to be non-smokers at time of delivery,1546
