FinancialYear,Quarter,OrgCode,OrgName,Measure,Value
2020/2021,1,E54000031,South West London Health and Care Partnership,Women whose smoking status was not known at time of delivery,18
2020/2021,1,E54000032,Kent and Medway,Number of maternities,4640
2020/2021,1,E54000032,Kent and Medway,Women known to be non-smokers at time of delivery,3958
2020/2021,1,E54000032,Kent and Medway,Women known to be smokers at time of delivery,667
2020/2021,1,E54000032,Kent and Medway,Women whose smoking status was not known at time of delivery,15
2020/2021,1,E54000034,Frimley Health and Care ICS,Number of maternities,1978
2020/2021,1,E54000034,Frimley Health and Care ICS,Women known to be non-smokers at time of delivery,1838
2020/2021,1,E54000034,Frimley Health and Care ICS,Women known to be smokers at time of delivery,139
2020/2021,1,E54000034,Frimley Health and Care ICS,Women whose smoking status was not known at time of delivery,1
2020/2021,1,E54000042,Hampshire and the Isle of Wight,Number of maternities,4234
2020/2021,1,E54000042,Hampshire and the Isle of Wight,Women known to be non-smokers at time of delivery,3754
2020/2021,1,E54000042,Hampshire and the Isle of Wight,Women known to be smokers at time of delivery,415
2020/2021,1,E54000042,Hampshire and the Isle of Wight,Women whose smoking status was not known at time of delivery,65
2020/2021,1,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West",Number of maternities,4156
2020/2021,1,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West",Women known to be non-smokers at time of delivery,3912
2020/2021,1,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West",Women known to be smokers at time of delivery,241
2020/2021,1,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West",Women whose smoking status was not known at time of delivery,3
2020/2021,1,E54000052,Surrey Heartlands Health and Care Partnership,Number of maternities,2267
2020/2021,1,E54000052,Surrey Heartlands Health and Care Partnership,Women known to be non-smokers at time of delivery,2124
2020/2021,1,E54000052,Surrey Heartlands Health and Care Partnership,Women known to be smokers at time of delivery,138
2020/2021,1,E54000052,Surrey Heartlands Health and Care Partnership,Women whose smoking status was not known at time of delivery,5
2020/2021,1,E54000053,Sussex Health and Care Partnership,Number of maternities,3611
2020/2021,1,E54000053,Sussex Health and Care Partnership,Women known to be non-smokers at time of delivery,3247
2020/2021,1,E54000053,Sussex Health and Care Partnership,Women known to be smokers at time of delivery,307
2020/2021,1,E54000053,Sussex Health and Care Partnership,Women whose smoking status was not known at time of delivery,57
2020/2021,1,E54000036,Cornwall and the Isles of Scilly Health and Social Care Partnership,Number of maternities,1123
2020/2021,1,E54000036,Cornwall and the Isles of Scilly Health and Social Care Partnership,Women known to be non-smokers at time of delivery,960
2020/2021,1,E54000036,Cornwall and the Isles of Scilly Health and Social Care Partnership,Women known to be smokers at time of delivery,162
2020/2021,1,E54000036,Cornwall and the Isles of Scilly Health and Social Care Partnership,Women whose smoking status was not known at time of delivery,1
2020/2021,1,E54000037,Devon,Number of maternities,2380
2020/2021,1,E54000037,Devon,Women known to be non-smokers at time of delivery,2061
2020/2021,1,E54000037,Devon,Women known to be smokers at time of delivery,223
2020/2021,1,E54000037,Devon,Women whose smoking status was not known at time of delivery,96
2020/2021,1,E54000038,Somerset,Number of maternities,1206
2020/2021,1,E54000038,Somerset,Women known to be non-smokers at time of delivery,1063
2020/2021,1,E54000038,Somerset,Women known to be smokers at time of delivery,139
2020/2021,1,E54000038,Somerset,Women whose smoking status was not known at time of delivery,4
2020/2021,1,E54000039,"Bristol, North Somerset and South Gloucestershire",Number of maternities,2408
2020/2021,1,E54000039,"Bristol, North Somerset and South Gloucestershire",Women known to be non-smokers at time of delivery,2191
2020/2021,1,E54000039,"Bristol, North Somerset and South Gloucestershire",Women known to be smokers at time of delivery,216
2020/2021,1,E54000039,"Bristol, North Somerset and South Gloucestershire",Women whose smoking status was not known at time of delivery,1
2020/2021,1,E54000040,"Bath and North East Somerset, Swindon and Wiltshire",Number of maternities,2008
2020/2021,1,E54000040,"Bath and North East Somerset, Swindon and Wiltshire",Women known to be non-smokers at time of delivery,1850
2020/2021,1,E54000040,"Bath and North East Somerset, Swindon and Wiltshire",Women known to be smokers at time of delivery,158
2020/2021,1,E54000040,"Bath and North East Somerset, Swindon and Wiltshire",Women whose smoking status was not known at time of delivery,0
2020/2021,1,E54000041,Dorset,Number of maternities,1549
2020/2021,1,E54000041,Dorset,Women known to be non-smokers at time of delivery,1370
2020/2021,1,E54000041,Dorset,Women known to be smokers at time of delivery,158
2020/2021,1,E54000041,Dorset,Women whose smoking status was not known at time of delivery,21
2020/2021,1,E54000043,Gloucestershire,Number of maternities,1385
2020/2021,1,E54000043,Gloucestershire,Women known to be non-smokers at time of delivery,1240
2020/2021,1,E54000043,Gloucestershire,Women known to be smokers at time of delivery,145
2020/2021,1,E54000043,Gloucestershire,Women whose smoking status was not known at time of delivery,0
2020/2021,1,E54000021,Cambridgeshire and Peterborough,Number of maternities,2256
2020/2021,1,E54000021,Cambridgeshire and Peterborough,Women known to be non-smokers at time of delivery,1896
2020/2021,1,E54000021,Cambridgeshire and Peterborough,Women known to be smokers at time of delivery,253
2020/2021,1,E54000021,Cambridgeshire and Peterborough,Women whose smoking status was not known at time of delivery,107
2020/2021,1,E54000022,Norfolk and Waveney Health and Care Partnership,Number of maternities,2110
2020/2021,1,E54000022,Norfolk and Waveney Health and Care Partnership,Women known to be non-smokers at time of delivery,1809
2020/2021,1,E54000022,Norfolk and Waveney Health and Care Partnership,Women known to be smokers at time of delivery,291
2020/2021,1,E54000022,Norfolk and Waveney Health and Care Partnership,Women whose smoking status was not known at time of delivery,10
2020/2021,1,E54000023,Suffolk and North East Essex,Number of maternities,2148
2020/2021,1,E54000023,Suffolk and North East Essex,Women known to be non-smokers at time of delivery,1905
2020/2021,1,E54000023,Suffolk and North East Essex,Women known to be smokers at time of delivery,200
2020/2021,1,E54000023,Suffolk and North East Essex,Women whose smoking status was not known at time of delivery,43
2020/2021,1,E54000024,"Bedfordshire, Luton and Milton Keynes",Number of maternities,2459
2020/2021,1,E54000024,"Bedfordshire, Luton and Milton Keynes",Women known to be non-smokers at time of delivery,2060
2020/2021,1,E54000024,"Bedfordshire, Luton and Milton Keynes",Women known to be smokers at time of delivery,210
2020/2021,1,E54000024,"Bedfordshire, Luton and Milton Keynes",Women whose smoking status was not known at time of delivery,189
2020/2021,1,E54000025,Hertfordshire and West Essex,Number of maternities,3578
2020/2021,1,E54000025,Hertfordshire and West Essex,Women known to be non-smokers at time of delivery,3265
2020/2021,1,E54000025,Hertfordshire and West Essex,Women known to be smokers at time of delivery,272
2020/2021,1,E54000025,Hertfordshire and West Essex,Women whose smoking status was not known at time of delivery,41
2020/2021,1,E54000026,Mid and South Essex,Number of maternities,2871
2020/2021,1,E54000026,Mid and South Essex,Women known to be non-smokers at time of delivery,2534
2020/2021,1,E54000026,Mid and South Essex,Women known to be smokers at time of delivery,255
2020/2021,1,E54000026,Mid and South Essex,Women whose smoking status was not known at time of delivery,82
2020/2021,1,E54000010,Staffordshire and Stoke on Trent,Number of maternities,2653
2020/2021,1,E54000010,Staffordshire and Stoke on Trent,Women known to be non-smokers at time of delivery,2289
2020/2021,1,E54000010,Staffordshire and Stoke on Trent,Women known to be smokers at time of delivery,337
2020/2021,1,E54000010,Staffordshire and Stoke on Trent,Women whose smoking status was not known at time of delivery,27
2020/2021,1,E54000011,Shropshire and Telford and Wrekin,Number of maternities,1054
2020/2021,1,E54000011,Shropshire and Telford and Wrekin,Women known to be non-smokers at time of delivery,903
2020/2021,1,E54000011,Shropshire and Telford and Wrekin,Women known to be smokers at time of delivery,142
2020/2021,1,E54000011,Shropshire and Telford and Wrekin,Women whose smoking status was not known at time of delivery,9
2020/2021,1,E54000012,Joined Up Care Derbyshire,Number of maternities,2308
2020/2021,1,E54000012,Joined Up Care Derbyshire,Women known to be non-smokers at time of delivery,2026
2020/2021,1,E54000012,Joined Up Care Derbyshire,Women known to be smokers at time of delivery,276
2020/2021,1,E54000012,Joined Up Care Derbyshire,Women whose smoking status was not known at time of delivery,6
2020/2021,1,E54000013,Lincolnshire,Number of maternities,1617
2020/2021,1,E54000013,Lincolnshire,Women known to be non-smokers at time of delivery,1349
2020/2021,1,E54000013,Lincolnshire,Women known to be smokers at time of delivery,250
2020/2021,1,E54000013,Lincolnshire,Women whose smoking status was not known at time of delivery,18
2020/2021,1,E54000014,Nottingham and Nottinghamshire Health and Care,Number of maternities,2389
2020/2021,1,E54000014,Nottingham and Nottinghamshire Health and Care,Women known to be non-smokers at time of delivery,2021
2020/2021,1,E54000014,Nottingham and Nottinghamshire Health and Care,Women known to be smokers at time of delivery,333
2020/2021,1,E54000014,Nottingham and Nottinghamshire Health and Care,Women whose smoking status was not known at time of delivery,35
2020/2021,1,E54000015,"Leicester, Leicestershire and Rutland",Number of maternities,2366
2020/2021,1,E54000015,"Leicester, Leicestershire and Rutland",Women known to be non-smokers at time of delivery,2118
2020/2021,1,E54000015,"Leicester, Leicestershire and Rutland",Women known to be smokers at time of delivery,248
2020/2021,1,E54000015,"Leicester, Leicestershire and Rutland",Women whose smoking status was not known at time of delivery,0
2020/2021,1,E54000016,The Black Country and West Birmingham,Number of maternities,4175
2020/2021,1,E54000016,The Black Country and West Birmingham,Women known to be non-smokers at time of delivery,3641
2020/2021,1,E54000016,The Black Country and West Birmingham,Women known to be smokers at time of delivery,478
2020/2021,1,E54000016,The Black Country and West Birmingham,Women whose smoking status was not known at time of delivery,56
2020/2021,1,E54000017,Birmingham and Solihull,Number of maternities,3736
2020/2021,1,E54000017,Birmingham and Solihull,Women known to be non-smokers at time of delivery,3341
2020/2021,1,E54000017,Birmingham and Solihull,Women known to be smokers at time of delivery,355
2020/2021,1,E54000017,Birmingham and Solihull,Women whose smoking status was not known at time of delivery,40
2020/2021,1,E54000018,Coventry and Warwickshire,Number of maternities,2388
2020/2021,1,E54000018,Coventry and Warwickshire,Women known to be non-smokers at time of delivery,2118
2020/2021,1,E54000018,Coventry and Warwickshire,Women known to be smokers at time of delivery,227
2020/2021,1,E54000018,Coventry and Warwickshire,Women whose smoking status was not known at time of delivery,43
2020/2021,1,E54000019,Herefordshire and Worcestershire,Number of maternities,1613
2020/2021,1,E54000019,Herefordshire and Worcestershire,Women known to be non-smokers at time of delivery,1372
2020/2021,1,E54000019,Herefordshire and Worcestershire,Women known to be smokers at time of delivery,175
2020/2021,1,E54000019,Herefordshire and Worcestershire,Women whose smoking status was not known at time of delivery,66
2020/2021,1,E54000020,Northamptonshire,Number of maternities,1871
2020/2021,1,E54000020,Northamptonshire,Women known to be non-smokers at time of delivery,1616
2020/2021,1,E54000020,Northamptonshire,Women known to be smokers at time of delivery,241
2020/2021,1,E54000020,Northamptonshire,Women whose smoking status was not known at time of delivery,14
2020/2021,1,E54000009,South Yorkshire and Bassetlaw,Number of maternities,3632
2020/2021,1,E54000009,South Yorkshire and Bassetlaw,Women known to be non-smokers at time of delivery,3141
2020/2021,1,E54000009,South Yorkshire and Bassetlaw,Women known to be smokers at time of delivery,459
2020/2021,1,E54000009,South Yorkshire and Bassetlaw,Women whose smoking status was not known at time of delivery,32
2020/2021,1,E54000050,Cumbria and North East,Number of maternities,6624
2020/2021,1,E54000050,Cumbria and North East,Women known to be non-smokers at time of delivery,5695
2020/2021,1,E54000050,Cumbria and North East,Women known to be smokers at time of delivery,915
2020/2021,1,E54000050,Cumbria and North East,Women whose smoking status was not known at time of delivery,14
2020/2021,1,E54000051,"Humber, Coast and Vale",Number of maternities,3552
2020/2021,1,E54000051,"Humber, Coast and Vale",Women known to be non-smokers at time of delivery,3032
2020/2021,1,E54000051,"Humber, Coast and Vale",Women known to be smokers at time of delivery,510
2020/2021,1,E54000051,"Humber, Coast and Vale",Women whose smoking status was not known at time of delivery,10
2020/2021,1,E54000054,West Yorkshire and Harrogate (Health and Care Partnership),Number of maternities,5893
2020/2021,1,E54000054,West Yorkshire and Harrogate (Health and Care Partnership),Women known to be non-smokers at time of delivery,5104
2020/2021,1,E54000054,West Yorkshire and Harrogate (Health and Care Partnership),Women known to be smokers at time of delivery,739
2020/2021,1,E54000054,West Yorkshire and Harrogate (Health and Care Partnership),Women whose smoking status was not known at time of delivery,50
2020/2021,1,E54000007,Greater Manchester Health and Social Care Partnership,Number of maternities,8329
2020/2021,1,E54000007,Greater Manchester Health and Social Care Partnership,Women known to be non-smokers at time of delivery,7489
2020/2021,1,E54000007,Greater Manchester Health and Social Care Partnership,Women known to be smokers at time of delivery,839
2020/2021,1,E54000007,Greater Manchester Health and Social Care Partnership,Women whose smoking status was not known at time of delivery,1
2020/2021,1,E54000008,Cheshire and Merseyside,Number of maternities,5369
2020/2021,1,E54000008,Cheshire and Merseyside,Women known to be non-smokers at time of delivery,4721
2020/2021,1,E54000008,Cheshire and Merseyside,Women known to be smokers at time of delivery,625
2020/2021,1,E54000008,Cheshire and Merseyside,Women whose smoking status was not known at time of delivery,23
2020/2021,1,E54000048,Healthier Lancashire and South Cumbria,Number of maternities,4000
2020/2021,1,E54000048,Healthier Lancashire and South Cumbria,Women known to be non-smokers at time of delivery,3464
2020/2021,1,E54000048,Healthier Lancashire and South Cumbria,Women known to be smokers at time of delivery,529
2020/2021,1,E54000048,Healthier Lancashire and South Cumbria,Women whose smoking status was not known at time of delivery,7
2020/2021,1,E38000020,NHS Brent CCG,Number of maternities,1081
2020/2021,1,E38000020,NHS Brent CCG,Women known to be non-smokers at time of delivery,1038
2020/2021,1,E38000020,NHS Brent CCG,Women known to be smokers at time of delivery,41
2020/2021,1,E38000020,NHS Brent CCG,Women whose smoking status was not known at time of delivery,2
2020/2021,1,E38000031,NHS Central London (Westminster) CCG,Number of maternities,329
2020/2021,1,E38000031,NHS Central London (Westminster) CCG,Women known to be non-smokers at time of delivery,319
2020/2021,1,E38000031,NHS Central London (Westminster) CCG,Women known to be smokers at time of delivery,10
2020/2021,1,E38000031,NHS Central London (Westminster) CCG,Women whose smoking status was not known at time of delivery,0
2020/2021,1,E38000048,NHS Ealing CCG,Number of maternities,1136
2020/2021,1,E38000048,NHS Ealing CCG,Women known to be non-smokers at time of delivery,1093
2020/2021,1,E38000048,NHS Ealing CCG,Women known to be smokers at time of delivery,36
2020/2021,1,E38000048,NHS Ealing CCG,Women whose smoking status was not known at time of delivery,7
2020/2021,1,E38000070,NHS Hammersmith and Fulham CCG,Number of maternities,532
2020/2021,1,E38000070,NHS Hammersmith and Fulham CCG,Women known to be non-smokers at time of delivery,515
2020/2021,1,E38000070,NHS Hammersmith and Fulham CCG,Women known to be smokers at time of delivery,15
2020/2021,1,E38000070,NHS Hammersmith and Fulham CCG,Women whose smoking status was not known at time of delivery,2
2020/2021,1,E38000074,NHS Harrow CCG,Number of maternities,797
2020/2021,1,E38000074,NHS Harrow CCG,Women known to be non-smokers at time of delivery,762
2020/2021,1,E38000074,NHS Harrow CCG,Women known to be smokers at time of delivery,34
2020/2021,1,E38000074,NHS Harrow CCG,Women whose smoking status was not known at time of delivery,1
2020/2021,1,E38000082,NHS Hillingdon CCG,Number of maternities,831
2020/2021,1,E38000082,NHS Hillingdon CCG,Women known to be non-smokers at time of delivery,788
2020/2021,1,E38000082,NHS Hillingdon CCG,Women known to be smokers at time of delivery,42
2020/2021,1,E38000082,NHS Hillingdon CCG,Women whose smoking status was not known at time of delivery,1
2020/2021,1,E38000084,NHS Hounslow CCG,Number of maternities,892
2020/2021,1,E38000084,NHS Hounslow CCG,Women known to be non-smokers at time of delivery,810
2020/2021,1,E38000084,NHS Hounslow CCG,Women known to be smokers at time of delivery,49
2020/2021,1,E38000084,NHS Hounslow CCG,Women whose smoking status was not known at time of delivery,33
2020/2021,1,E38000202,NHS West London CCG,Number of maternities,481
2020/2021,1,E38000202,NHS West London CCG,Women known to be non-smokers at time of delivery,468
2020/2021,1,E38000202,NHS West London CCG,Women known to be smokers at time of delivery,13
2020/2021,1,E38000202,NHS West London CCG,Women whose smoking status was not known at time of delivery,0
2020/2021,1,E38000240,NHS North Central London CCG,Number of maternities,3977
2020/2021,1,E38000240,NHS North Central London CCG,Women known to be non-smokers at time of delivery,3719
2020/2021,1,E38000240,NHS North Central London CCG,Women known to be smokers at time of delivery,216
2020/2021,1,E38000240,NHS North Central London CCG,Women whose smoking status was not known at time of delivery,42
2020/2021,1,E38000004,NHS Barking and Dagenham CCG,Number of maternities,807
2020/2021,1,E38000004,NHS Barking and Dagenham CCG,Women known to be non-smokers at time of delivery,745
2020/2021,1,E38000004,NHS Barking and Dagenham CCG,Women known to be smokers at time of delivery,61
2020/2021,1,E38000004,NHS Barking and Dagenham CCG,Women whose smoking status was not known at time of delivery,1
2020/2021,1,E38000035,NHS City and Hackney CCG,Number of maternities,1066
2020/2021,1,E38000035,NHS City and Hackney CCG,Women known to be non-smokers at time of delivery,1017
2020/2021,1,E38000035,NHS City and Hackney CCG,Women known to be smokers at time of delivery,49
2020/2021,1,E38000035,NHS City and Hackney CCG,Women whose smoking status was not known at time of delivery,0
2020/2021,1,E38000077,NHS Havering CCG,Number of maternities,723
2020/2021,1,E38000077,NHS Havering CCG,Women known to be non-smokers at time of delivery,672
2020/2021,1,E38000077,NHS Havering CCG,Women known to be smokers at time of delivery,51
2020/2021,1,E38000077,NHS Havering CCG,Women whose smoking status was not known at time of delivery,0
2020/2021,1,E38000113,NHS Newham CCG,Number of maternities,1321
2020/2021,1,E38000113,NHS Newham CCG,Women known to be non-smokers at time of delivery,1262
2020/2021,1,E38000113,NHS Newham CCG,Women known to be smokers at time of delivery,59
2020/2021,1,E38000113,NHS Newham CCG,Women whose smoking status was not known at time of delivery,0
2020/2021,1,E38000138,NHS Redbridge CCG,Number of maternities,992
2020/2021,1,E38000138,NHS Redbridge CCG,Women known to be non-smokers at time of delivery,956
2020/2021,1,E38000138,NHS Redbridge CCG,Women known to be smokers at time of delivery,36
2020/2021,1,E38000138,NHS Redbridge CCG,Women whose smoking status was not known at time of delivery,0
2020/2021,1,E38000186,NHS Tower Hamlets CCG,Number of maternities,1043
2020/2021,1,E38000186,NHS Tower Hamlets CCG,Women known to be non-smokers at time of delivery,1002
2020/2021,1,E38000186,NHS Tower Hamlets CCG,Women known to be smokers at time of delivery,40
2020/2021,1,E38000186,NHS Tower Hamlets CCG,Women whose smoking status was not known at time of delivery,1
2020/2021,1,E38000192,NHS Waltham Forest CCG,Number of maternities,988
2020/2021,1,E38000192,NHS Waltham Forest CCG,Women known to be non-smokers at time of delivery,943
2020/2021,1,E38000192,NHS Waltham Forest CCG,Women known to be smokers at time of delivery,44
2020/2021,1,E38000192,NHS Waltham Forest CCG,Women whose smoking status was not known at time of delivery,1
2020/2021,1,E38000244,NHS South East London CCG,Number of maternities,5453
2020/2021,1,E38000244,NHS South East London CCG,Women known to be non-smokers at time of delivery,5131
2020/2021,1,E38000244,NHS South East London CCG,Women known to be smokers at time of delivery,247
2020/2021,1,E38000244,NHS South East London CCG,Women whose smoking status was not known at time of delivery,75
2020/2021,1,E38000245,NHS South West London CCG,Number of maternities,4666
2020/2021,1,E38000245,NHS South West London CCG,Women known to be non-smokers at time of delivery,4445
2020/2021,1,E38000245,NHS South West London CCG,Women known to be smokers at time of delivery,203
2020/2021,1,E38000245,NHS South West London CCG,Women whose smoking status was not known at time of delivery,18
2020/2021,1,E38000237,NHS Kent and Medway CCG,Number of maternities,4640
2020/2021,1,E38000237,NHS Kent and Medway CCG,Women known to be non-smokers at time of delivery,3958
2020/2021,1,E38000237,NHS Kent and Medway CCG,Women known to be smokers at time of delivery,667
2020/2021,1,E38000237,NHS Kent and Medway CCG,Women whose smoking status was not known at time of delivery,15
2020/2021,1,E38000118,NHS North East Hampshire and Farnham CCG,Number of maternities,542
2020/2021,1,E38000118,NHS North East Hampshire and Farnham CCG,Women known to be non-smokers at time of delivery,516
2020/2021,1,E38000118,NHS North East Hampshire and Farnham CCG,Women known to be smokers at time of delivery,26
2020/2021,1,E38000118,NHS North East Hampshire and Farnham CCG,Women whose smoking status was not known at time of delivery,0
2020/2021,1,E38000178,NHS Surrey Heath CCG,Number of maternities,217
2020/2021,1,E38000178,NHS Surrey Heath CCG,Women known to be non-smokers at time of delivery,201
2020/2021,1,E38000178,NHS Surrey Heath CCG,Women known to be smokers at time of delivery,16
2020/2021,1,E38000178,NHS Surrey Heath CCG,Women whose smoking status was not known at time of delivery,0
2020/2021,1,E38000224,NHS East Berkshire CCG,Number of maternities,1219
2020/2021,1,E38000224,NHS East Berkshire CCG,Women known to be non-smokers at time of delivery,1121
2020/2021,1,E38000224,NHS East Berkshire CCG,Women known to be smokers at time of delivery,97
2020/2021,1,E38000224,NHS East Berkshire CCG,Women whose smoking status was not known at time of delivery,1
2020/2021,1,E38000059,NHS Fareham and Gosport CCG,Number of maternities,426
2020/2021,1,E38000059,NHS Fareham and Gosport CCG,Women known to be non-smokers at time of delivery,366
2020/2021,1,E38000059,NHS Fareham and Gosport CCG,Women known to be smokers at time of delivery,51
2020/2021,1,E38000059,NHS Fareham and Gosport CCG,Women whose smoking status was not known at time of delivery,9
2020/2021,1,E38000087,NHS Isle of Wight CCG,Number of maternities,254
2020/2021,1,E38000087,NHS Isle of Wight CCG,Women known to be non-smokers at time of delivery,224
2020/2021,1,E38000087,NHS Isle of Wight CCG,Women known to be smokers at time of delivery,30
2020/2021,1,E38000087,NHS Isle of Wight CCG,Women whose smoking status was not known at time of delivery,0
2020/2021,1,E38000120,NHS North Hampshire CCG,Number of maternities,576
2020/2021,1,E38000120,NHS North Hampshire CCG,Women known to be non-smokers at time of delivery,533
2020/2021,1,E38000120,NHS North Hampshire CCG,Women known to be smokers at time of delivery,43
2020/2021,1,E38000120,NHS North Hampshire CCG,Women whose smoking status was not known at time of delivery,0
2020/2021,1,E38000137,NHS Portsmouth CCG,Number of maternities,582
2020/2021,1,E38000137,NHS Portsmouth CCG,Women known to be non-smokers at time of delivery,475
2020/2021,1,E38000137,NHS Portsmouth CCG,Women known to be smokers at time of delivery,81
2020/2021,1,E38000137,NHS Portsmouth CCG,Women whose smoking status was not known at time of delivery,26
2020/2021,1,E38000154,NHS South Eastern Hampshire CCG,Number of maternities,469
2020/2021,1,E38000154,NHS South Eastern Hampshire CCG,Women known to be non-smokers at time of delivery,399
2020/2021,1,E38000154,NHS South Eastern Hampshire CCG,Women known to be smokers at time of delivery,50
2020/2021,1,E38000154,NHS South Eastern Hampshire CCG,Women whose smoking status was not known at time of delivery,20
2020/2021,1,E38000167,NHS Southampton CCG,Number of maternities,714
2020/2021,1,E38000167,NHS Southampton CCG,Women known to be non-smokers at time of delivery,640
2020/2021,1,E38000167,NHS Southampton CCG,Women known to be smokers at time of delivery,69
2020/2021,1,E38000167,NHS Southampton CCG,Women whose smoking status was not known at time of delivery,5
2020/2021,1,E38000198,NHS West Hampshire CCG,Number of maternities,1213
2020/2021,1,E38000198,NHS West Hampshire CCG,Women known to be non-smokers at time of delivery,1117
2020/2021,1,E38000198,NHS West Hampshire CCG,Women known to be smokers at time of delivery,91
2020/2021,1,E38000198,NHS West Hampshire CCG,Women whose smoking status was not known at time of delivery,5
2020/2021,1,E38000136,NHS Oxfordshire CCG,Number of maternities,1513
2020/2021,1,E38000136,NHS Oxfordshire CCG,Women known to be non-smokers at time of delivery,1417
2020/2021,1,E38000136,NHS Oxfordshire CCG,Women known to be smokers at time of delivery,95
2020/2021,1,E38000136,NHS Oxfordshire CCG,Women whose smoking status was not known at time of delivery,1
2020/2021,1,E38000221,NHS Berkshire West CCG,Number of maternities,1345
2020/2021,1,E38000221,NHS Berkshire West CCG,Women known to be non-smokers at time of delivery,1285
2020/2021,1,E38000221,NHS Berkshire West CCG,Women known to be smokers at time of delivery,60
2020/2021,1,E38000221,NHS Berkshire West CCG,Women whose smoking status was not known at time of delivery,0
2020/2021,1,E38000223,NHS Buckinghamshire CCG,Number of maternities,1298
2020/2021,1,E38000223,NHS Buckinghamshire CCG,Women known to be non-smokers at time of delivery,1210
2020/2021,1,E38000223,NHS Buckinghamshire CCG,Women known to be smokers at time of delivery,86
2020/2021,1,E38000223,NHS Buckinghamshire CCG,Women whose smoking status was not known at time of delivery,2
