QS_id,QS_statement_id,measure_text,measure_type,measure_number,QS_measure_id,measure_number,Numerator,Denominator
2,2.4,Proportion of adults who have had a stroke and are assessed as suitable for early supported discharge by the core multidisciplinary stroke team who receive it,Process,12,2.4.P1,1,The number in the denominator who receive early supported discharge.,The number of adults who have had a stroke and are assessed as suitable for early supported discharge by the core multidisciplinary stroke team.
2,2.4,Proportion of adults who have had stroke who are treated by an early supported discharge team,Process,13,2.4.P2,2,The number in the denominator who are treated by an early supported discharge team.,The number of adults who have had a stroke.
2,2.4,Length of hospital stay for adults who have had a stroke,Outcome,14,2.4.O1,1,,
2,2.4,Quality of life for adults who have had a stroke,Outcome,15,2.4.O2,2,,
2,2.5,Evidence of local arrangements and written clinical protocols to ensure that adults who have had a stroke are offered active management to return to work if they wish to do so,Structure,16,2.5.S1,1,,
2,2.5,Proportion of adults who have had a stroke who receive active management to return to work if they wish to do so,Process,17,2.5.P1,1,The number in the denominator who receive active management to help them return to work.,The number of adults who have had a stroke who wish to return to work.
2,2.5,Quality of life for adults who have had a stroke,Outcome,18,2.5.O1,1,,
2,2.5,Quality of life for carers of adults who have had a stroke,Outcome,19,2.5.O2,2,,
2,2.6,Evidence of local arrangements and written clinical protocols to ensure that adults who have had a stroke have their rehabilitation goals reviewed at regular intervals,Structure,20,2.6.S1,1,,
2,2.6,Proportion of adults who have had a stroke who have their rehabilitation goals agreed within 5 days of arrival at A&E,Process,21,2.6.P1,1,The number in the denominator who have their rehabilitation goals agreed within 5 days of arrival at A&E. ,The number of adults who have had a stroke.
2,2.6,Proportion of adults who have had a stroke who have their rehabilitation goals reviewed at regular intervals,Process,22,2.6.P2,2,The number in the denominator who have their rehabilitation goals reviewed at regular intervals.,The number of adults who have had a stroke with agreed rehabilitation goals.
2,2.6,Quality of life for adults who have had a stroke,Outcome,23,2.6.O1,1,,
2,2.6,Readmission rates of adults who have had a stroke,Outcome,24,2.6.O2,2,,
2,2.7,"Evidence of local arrangements and written protocols to ensure that adults who have had a stroke have a structured health and social care review at 6 months and 1 year after the stroke, and then annually",Structure,25,2.7.S1,1,,
2,2.7,Proportion of adults who have had a stroke who have a structured health and social care review at 6 months after the stroke,Process,26,2.7.P1,1,The number in the denominator who have a structured health and social care review at 6 months after the stroke.,The number of adults who have had a stroke.
2,2.7,Proportion of adults who have had a stroke and had a structured health and social care review at 6 months after the stroke who have a review 1 year after the stroke,Process,27,2.7.P2,2,The number in the denominator who have a review 1 year after the stroke.,The number of adults who have had a stroke and had a structured health and social care review at 6 months after the stroke.
2,2.7,"Proportion of adults who have had a stroke and had a structured health and social care review at 6 months and 1 year after the stroke, who have annual reviews thereafter",Process,28,2.7.P3,3,The number in the denominator who have annual reviews.,The number of adults who have had a stroke and had a structured health and social care review at 6 months and 1 year after the stroke.
2,2.7,Quality of life for adults who have had a stroke,Outcome,29,2.7.O1,1,,
2,2.7,Readmission rates of adults who have had a stroke,Outcome,30,2.7.O2,2,,
5,5.1,"Evidence of local systems that invite adults with, or at risk of, CKD to have eGFRcreatinine and ACR testing.",Structure,1,5.1.S1,1,,
5,5.1,Proportion of adults with CKD who had eGFRcreatinine testing in the past year.,Process,2,5.1.P1,1,The number in the denominator who had eGFRcreatinine testing in the past year.,The number of adults with CKD.
5,5.1,Proportion of adults with CKD who had ACR testing at the frequency agreed with their healthcare professional.,Process,3,5.1.P2,2,The number in the denominator who had ACR testing at the frequency agreed with their healthcare professional.,The number of adults with CKD.
5,5.1,Proportion of adults at risk of CKD who had eGFRcreatinine testing at the frequency agreed with their healthcare professional.,Process,4,5.1.P3,3,The number in the denominator who had eGFRcreatinine testing at the frequency agreed with their healthcare professional.,The number of adults with CKD.
5,5.1,Proportion of adults at risk of CKD who had ACR testing at the frequency agreed with their healthcare professional.,Process,5,5.1.P4,4,The number in the denominator who had ACR testing at the agreed frequency.,The number of adults with CKD.
5,5.1,Prevalence of undiagnosed CKD.,Outcome,6,5.1.O1,1,,
5,5.1,Stage of CKD at diagnosis.,Outcome,7,5.1.O2,2,,
5,5.2,Evidence of local systems to identify and invite adults with CKD to have a blood pressure reading.,Structure,8,5.2.S1,1,,
5,5.2,Evidence of the availability of equipment to take a blood pressure reading from adults with CKD.,Structure,9,5.2.S2,2,,
5,5.2,Proportion of adults with CKD without diabetes and with an ACR below 70 mg/mmol whose systolic blood pressure is between 120–139 mmHg and their diastolic blood pressure below 90 mmHg.,Process,10,5.2.P1,1,The number in the denominator whose systolic blood pressure is between 120–139 mmHg and their diastolic blood pressure below 90 mmHg.,The number of adults with CKD without diabetes and with an ACR below 70 mg/mmol.
5,5.2,Proportion of adults with CKD and diabetes whose systolic blood pressure is between 120–129 mmHg and their diastolic blood pressure below 80 mmHg.,Process,11,5.2.P2,2,The number in the denominator whose systolic blood pressure is between 120–129 mmHg and their diastolic blood pressure below 80 mmHg.,The number of adults with CKD and diabetes.
5,5.2,Proportion of adults with CKD and an ACR of 70 mg/mmol or more whose systolic blood pressure is between 120–129 mmHg and their diastolic blood pressure below 80 mmHg.,Process,12,5.2.P3,3,The number in the denominator whose systolic blood pressure is between 120–129 mmHg and their diastolic blood pressure below 80 mmHg.,The number of adults with CKD and an ACR of 70 mg/mmol or more.
5,5.2,Prevalence of cardiovascular disease among people with CKD.,Outcome,13,5.2.O1,1,,
5,5.2,Incidence of cardiovascular events for people with CKD.,Outcome,14,5.2.O2,2,,
5,5.2,Cardiovascular mortality rates among people with CKD.,Outcome,15,5.2.O3,3,,
5,5.2,Incidence of end-stage kidney disease.,Outcome,16,5.2.O4,4,,
5,5.3,Evidence of the availability of atorvastatin 20 mg within local service providers.,Structure,17,5.3.S1,1,,
5,5.3,Evidence of local systems to check whether adults with CKD are taking atorvastatin 20 mg and invite them to discuss starting treatment if not.,Structure,18,5.3.S2,2,,
5,5.3,Proportion of adults with CKD who receive atorvastatin 20 mg.,Process,19,5.3.P1,1,The number in the denominator who receive atorvastatin 20 mg.,The number of adults with CKD.
5,5.3,Prevalence of cardiovascular disease among people with CKD.,Outcome,20,5.3.O1,1,,
5,5.3,Incidence of cardiovascular events for people with CKD.,Outcome,21,5.3.O2,2,,
5,5.3,Cardiovascular mortality rates among people with CKD.,Outcome,22,5.3.O3,3,,
5,5.3,Proportion of people with CKD with a greater than 40% reduction in non?high?density lipoprotein cholesterol.,Outcome,23,5.3.O4,4,,
6,6.1,Evidence of local arrangements to ensure that adults at high risk of type 2 diabetes are offered a referral to an intensive lifestyle-change programme.,Structure,1,6.1.S1,1,,
6,6.1,Proportion of adults at high risk of type 2 diabetes who are referred to an intensive lifestyle-change programme.,Process,2,6.1.P1,1,The number in the denominator who are referred to an intensive lifestyle-change programme.,The number of adults at high risk of type 2 diabetes.
6,6.1,Proportion of adults at high risk of type 2 diabetes who attend an intensive lifestyle-change programme after a referral.,Process,3,6.1.P2,2,The number in the denominator who attend an intensive lifestyle-change programme.,The number of adults at high risk of type 2 diabetes who are referred to an intensive lifestyle-change programme.
6,6.1,Weight loss of participants in intensive lifestyle-change programmes.,Outcome,4,6.1.O1,1,,
6,6.1,Incidence of type 2 diabetes in adults.,Outcome,5,6.1.O2,2,,
6,6.2,Evidence of local arrangements to ensure that adults with type 2 diabetes are referred for a structured education programme at diagnosis.,Structure,6,6.2.S1,1,,
6,6.2,Proportion of adults with type 2 diabetes who are referred for a structured education programme at diagnosis.,Process,7,6.2.P1,1,The number in the denominator who are referred for a structured education programme at diagnosis.,The number of adults newly diagnosed with type 2 diabetes.
6,6.2,Proportion of adults with type 2 diabetes who attend a structured education programme after a referral.,Process,8,6.2.P2,2,The number in the denominator who attend a structured education programme.,The number of adults with type 2 diabetes who are referred for a structured education programme at diagnosis.
6,6.2,Proportion of adults with type 2 diabetes who complete a structured education programme.,Process,9,6.2.P3,3,The number in the denominator who complete a structured education programme.,The number of adults with type 2 diabetes who attend a structured education programme.
6,6.2,Patient satisfaction with ability to self-manage their type 2 diabetes after attending a structured education programme.,Outcome,10,6.2.O1,1,,
6,6.3,Evidence of local arrangements to ensure that adults with type 1 diabetes are referred for a structured education programme 6–12 months after diagnosis,Structure,11,6.3.S1,1,,
6,6.3,Proportion of adults with type 1 diabetes who are referred to a structured education programme 6–12 months after diagnosis,Process,12,6.3.P1,1,The number in the denominator who are referred to a structured education programme 6–12 months after diagnosis.,The number of adults diagnosed with type 1 diabetes in the last 12 months.
6,6.3,Proportion of adults with type 1 diabetes who attend a structured education programme after a referral.,Process,13,6.3.P2,2,The number in the denominator who attend a structured education programme.,The number of adults with type 1 diabetes who are referred for a structured education programme.
6,6.3,Proportion of adults with type 1 diabetes who complete a structured education programme.,Process,14,6.3.P3,3,The number in the denominator who complete a structured education programme.,The number of adults with type 1 diabetes who attend a structured education programme.
6,6.3,Patient satisfaction with ability to self-manage their type 1 diabetes after attending a structured education programme.,Outcome,15,6.3.O1,1,,
6,6.4,Evidence of local arrangements to ensure that adults with type 2 diabetes are offered dual therapy if their HbA1c level is 58 mmol/mol (7.5%) or above after 6 months with single-drug treatment. ,Structure,16,6.4.S1,1,,
6,6.4,Proportion of adults with type 2 diabetes who are started on dual therapy when their HbA1c level is 58 mmol/mol (7.5%) or above after 6 months with single-drug treatment. ,Process,17,6.4.P1,1,The number in the denominator who are started on dual therapy.,The number of adults with type 2 diabetes whose HbA1c level is 58 mmol/mol (7.5%) or above after 6 months with single-drug treatment.
6,6.4,Adults with type 2 diabetes feel supported to aim for an HbA1c level of 53 mmol/mol (7.0%) or less.,Outcome,18,6.4.O1,1,,
6,6.4,Incidence of diabetes-related complications.,Outcome,19,6.4.O2,2,,
6,6.5,Evidence of local arrangements to ensure that adults at moderate or high risk of developing a diabetic foot problem are referred to the foot protection service.,Structure,20,6.5.S1,1,,
6,6.5,Proportion of adults at moderate or high risk of developing a diabetic foot problem who are referred to the foot protection service.,Process,21,6.5.P1,1,The number in the denominator who are referred to the foot protection service.,The number of adults at moderate or high risk of developing a diabetic foot problem.
6,6.5,Incidence of foot and lower limb amputations in people with diabetes.,Outcome,22,6.5.O1,1,,
6,6.6,Evidence of local arrangements to ensure that adults with a limb-threatening or life-threatening diabetic foot problem are referred immediately for specialist assessment and treatment.,Structure,23,6.6.S1,1,,
6,6.6,Proportion of presentations of limb-threatening or life-threatening diabetic foot problems that are referred immediately for specialist assessment and treatment.,Process,24,6.6.P1,1,The number in the denominator that are referred immediately for specialist assessment and treatment.,The number of presentations of limb-threatening or life-threatening diabetic foot problems.
6,6.6,Proportion of presentations of limb-threatening or life-threatening diabetic foot problems in which the multidisciplinary foot care service is informed.,Process,25,6.6.P2,2,The number in the denominator in which the multidisciplinary foot care service is informed.,The number of presentations of limb-threatening or life-threatening diabetic foot problems.
6,6.6,Incidence of foot and lower limb amputations in people with diabetes.,Outcome,26,6.6.O1,1,,
6,6.7,Evidence of local arrangements to ensure that adults with type 1 diabetes in hospital receive advice from a multidisciplinary team with expertise in diabetes.,Structure,27,6.7.S1,1,,
6,6.7,Proportion of hospital admissions for adults with type 1 diabetes in which they receive advice from a multidisciplinary team with expertise in diabetes.,Process,28,6.7.P1,1,The number in the denominator in which the person receives advice from a multidisciplinary team with expertise in diabetes.,The number of hospital admissions for adults with type 1 diabetes.
6,6.7,Length of hospital stay.,Outcome,29,6.7.O1,1,,
6,6.7,Patient satisfaction that staff met their diabetes needs while in hospital. ,Outcome,30,6.7.O2,2,,
8,8.1,"Evidence of an assessment process for people who may have depression that identifies the severity of symptoms, the degree of associated functional impairment and the duration of the episode. ",Structure,1,8.1.S1,1,,
8,8.1,"Proportion of people who receive an assessment for depression that identifies the severity of symptoms, the degree of associated functional impairment and the duration of the episode.  ",Process,2,8.1.P1,1,"The number of people in the denominator receiving an assessment that identifies the severity of symptoms, the degree of associated functional impairment and the duration of the episode.",The number of people receiving an assessment for depression.
8,8.2,"Evidence of local arrangements for regular monitoring of compliance with applicable competencies for practitioners delivering pharmacological, psychological or psychosocial interventions.",Structure,3,8.2.S1,1,,
8,8.2,"Evidence of local arrangements for the regular supervision of practitioners delivering pharmacological, psychological or psychosocial interventions for people with depression.",Structure,4,8.2.S2,2,,
8,8.2,"Evidence that services are commissioned to provide pharmacological, psychological or psychosocial interventions of content and duration in accordance with NICE guidance for people with depression.",Structure,5,8.2.S3,3,,
8,8.2,"Proportion of practitioners delivering pharmacological, psychological or psychosocial interventions for people with depression who receive regular supervision. ",Process,6,8.2.P1,1,The number of practitioners in the denominator receiving regular supervision.,"The number of practitioners delivering pharmacological, psychological or psychosocial interventions for people with depression."
8,8.2,Proportion of people with depression receiving interventions who receive interventions of appropriate content in accordance with NICE guidance.  ,Process,7,8.2.P2,2,The number of people in the denominator receiving interventions of appropriate content in accordance with NICE guidance.,"The number of people with depression receiving psychological, psychosocial or pharmacological interventions."
8,8.2,Proportion of people with depression receiving interventions who receive interventions of appropriate duration in accordance with NICE guidance. ,Process,8,8.2.P3,3,The number of people in the denominator receiving interventions of appropriate duration in accordance with NICE guidance.,"The number of people with depression receiving psychological, psychosocial or pharmacological interventions."
8,8.3,Evidence of systems in place to monitor health outcomes for people with depression at each appointment and use the findings to adjust delivery of interventions.,Structure,9,8.3.S1,1,,
8,8.3,"Proportion of people with depression receiving pharmacological, psychological or psychosocial interventions who have their health outcomes recorded at initial contact and subsequent review. ",Process,10,8.3.P1,1,The number of people in the denominator whose health outcomes are recorded at initial contact and subsequent review.,"The number of people with depression receiving pharmacological, psychological or psychosocial interventions."
8,8.4,Evidence of local arrangements to provide appropriate low-intensity psychosocial interventions to people with persistent subthreshold depressive symptoms or mild to moderate depression. ,Structure,11,8.4.S1,1,,
8,8.4,Proportion of people with persistent subthreshold symptoms or mild to moderate depression who receive appropriate low-intensity psychosocial interventions.,Process,12,8.4.P1,1,The number of people in the denominator receiving appropriate low-intensity psychosocial interventions.,The number of people with persistent subthreshold depressive symptoms or mild to moderate depression.
8,8.5,Evidence of local arrangements to support the correct prescribing of antidepressants to people with persistent subthreshold depressive symptoms or mild depression in accordance with the NICE guidance. ,Structure,13,8.5.S1,1,,
8,8.5,Proportion of people with persistent subthreshold depressive symptoms or mild depression prescribed antidepressant medication who meet specific clinical criteria for the prescription of antidepressants in accordance with NICE guidance. ,Process,14,8.5.P1,1,The number of people in the denominator meeting the specific clinical criteria for the prescription of antidepressants in accordance with NICE guidance.,The number of people with persistent subthreshold depressive symptoms or mild depression prescribed antidepressants.
8,8.6,Evidence of coordination and cooperation between services delivering pharmacological and psychological interventions. ,Structure,15,8.6.S1,1,,
8,8.6,Proportion of people with moderate or severe depression (and no existing chronic physical health problem) who receive a combination of antidepressant medication and either high-intensity cognitive behavioural therapy or interpersonal therapy.,Process,16,8.6.P1,1,The number of people in the denominator receiving a combination of antidepressant medication and either high-intensity cognitive behavioural therapy or interpersonal therapy.,The number of people with moderate or severe depression (and no existing chronic physical health problem).
8,8.7,Evidence of local arrangements to provide appropriate high-intensity psychological interventions for people with moderate depression and a chronic physical health problem.,Structure,17,8.7.S1,1,,
8,8.7,Proportion of people with moderate depression and a chronic physical health problem who receive an appropriate high-intensity psychological intervention.,Process,18,8.7.P1,1,The number of people in the denominator receiving an appropriate high-intensity psychological intervention.,The number of people with moderate depression and a chronic physical health problem.
8,8.8,Evidence of local arrangements to provide a combination of antidepressant medication and individual cognitive behavioural therapy (CBT) to people with severe depression and a chronic physical health problem.,Structure,19,8.8.S1,1,,
8,8.8,Proportion of people with severe depression and a chronic physical health problem who receive a combination of antidepressant medication and individual CBT.,Process,20,8.8.P1,1,The number of people in the denominator receiving a combination of antidepressant medication and individual CBT.,The number of people with severe depression and a chronic physical health problem.
8,8.9,"Evidence of local arrangements to provide collaborative care to people with moderate to severe depression and a chronic physical health problem with associated functional impairment, whose symptoms are not responding to initial interventions. ",Structure,21,8.9.S1,1,,
8,8.9,"Proportion of people with moderate to severe depression and a chronic physical health problem with associated functional impairment, whose symptoms are not responding to initial interventions, who receive collaborative care. ",Process,22,8.9.P1,1,The number of people in the denominator receiving collaborative care.,The number of people with a chronic physical health problem and moderate to severe depression with associated functional impairment whose symptoms are not responding to initial interventions.
8,8.1,Evidence of local arrangements for monitoring and reviewing people prescribed antidepressants. ,Structure,23,8.1.S1,1,,
8,8.1,Proportion of people with depression benefiting from antidepressants who remain on them at least 6 months after remission.  ,Process,24,8.1.P1,1,The number of people in the denominator remaining on antidepressants at least 6 months after remission.,The number of people with depression benefiting from antidepressants.
8,8.1,Proportion of people with depression benefiting from antidepressants and with a significant risk of relapse who remain on them 2 years after remission. ,Process,25,8.1.P2,2,The number of people in the denominator remaining on antidepressants 2 years after remission.,The number of people with depression benefiting from antidepressants and at risk of relapse.
8,8.11,Evidence of procedures to regularly reassess people with depression whose treatment consists solely of antidepressants.  ,Structure,26,8.11.S1,1,,
8,8.11,Proportion of people with depression treated solely with antidepressants who are reassessed at least every 4 weeks for the first 3 months of treatment. ,Process,27,8.11.P1,1,The number of people in the denominator reassessed at least every 4 weeks for the first 3 months of treatment.,The number of people with depression treated solely with antidepressants.
8,8.12,Evidence of local arrangements to identify people with depression that has not responded adequately to initial treatment within 6 to 8 weeks and to review treatment plans.  ,Structure,28,8.12.S1,1,,
8,8.12,Proportion of people with depression that has not responded adequately to initial treatment within 8 weeks who have their treatment plan reviewed.,Process,29,8.12.P1,1,The number of people in the denominator receiving a review of their treatment plan.,The number of people with depression that has not responded adequately to initial treatment within 8 weeks.
8,8.13,Evidence of local arrangements to provide appropriate psychological interventions to people who have been treated for depression who have residual symptoms or are at significant risk of relapse. ,Structure,30,8.13.S1,1,,
8,8.13,Proportion of people who have been treated for depression who have residual symptoms or are at significant risk of relapse who receive appropriate psychological interventions. ,Process,31,8.13.P1,1,The number of people in the denominator receiving appropriate psychological interventions.,The number of people who have been treated for depression who have residual symptoms or are at significant risk of relapse.
9,9.1,Evidence of local arrangements to ensure that adults with suspected chronic heart failure referred for diagnosis have an echocardiogram and specialist assessment.,Structure,1,9.1.S1,1,,
9,9.1,Proportion of adults with suspected chronic heart failure referred for diagnosis who have an echocardiogram and specialist assessment.,Process,2,9.1.P1,1,The number in the denominator who have an echocardiogram and specialist assessment.,The number of adults with suspected chronic heart failure who are referred for diagnosis.
9,9.2,"Evidence of local arrangements and written clinical protocols to ensure that adults with suspected chronic heart failure and very high levels of serum natriuretic peptides, who have been referred for diagnosis, have an echocardiogram and specialist assessment within 2 weeks.",Structure,3,9.2.S1,1,,
9,9.2,"Proportion of adults with suspected chronic heart failure and very high levels of serum natriuretic peptides, who have been referred for diagnosis, who have an echocardiogram and specialist assessment within 2 weeks of referral.",Process,4,9.2.P1,1,The number in the denominator who have an echocardiogram and a specialist assessment within 2 weeks of referral.,The number of adults referred for diagnosis with suspected chronic heart failure and very high levels of serum natriuretic peptides.
9,9.2,Mortality due to heart failure.,Outcome,5,9.2.O1,1,,
9,9.2,"Hospital admissions, inpatient hospital days and readmissions due to heart failure.",Outcome,6,9.2.O2,2,,
9,9.3,"Evidence of local arrangements to ensure that adults with chronic heart failure who have reduced ejection fraction are started on low?dose ACE inhibitor and beta?blocker medications, which are gradually increased until the target or optimal tolerated doses are reached.",Structure,7,9.3.S1,1,,
9,9.3,Proportion of adults diagnosed with chronic heart failure who have reduced ejection fraction prescribed ACE inhibitor medication who are on a dose that is higher than the starting dose.,Process,8,9.3.P1,1,The number in the denominator who are on a dose of ACE inhibitor medication that is higher than the starting dose.,The number of adults diagnosed with chronic heart failure who have reduced ejection fraction who are prescribed ACE inhibitor medication.
9,9.3,Proportion of adults diagnosed with chronic heart failure who have reduced ejection fraction prescribed beta?blocker medication who are on a dose that is higher than the starting dose.,Process,9,9.3.P2,2,The number in the denominator who are on a dose of beta-blocker medication that is higher than the starting dose.,The number of adults diagnosed with chronic heart failure who have reduced ejection fraction who are prescribed beta?blocker medication.
9,9.3,Mortality due to heart failure.,Outcome,10,9.3.O1,1,,
9,9.3,"Hospital admissions, inpatient hospital days and readmissions due to heart failure.",Outcome,11,9.3.O2,2,,
9,9.4,Evidence of local arrangements to ensure that adults with chronic heart failure have a review within 2 weeks of any change in the dose or type of their heart failure medication.,Structure,12,9.4.S1,1,,
9,9.4,Proportion of changes to dose or type of chronic heart failure medication in which the person is reviewed within 2 weeks of a change.,Process,13,9.4.P1,1,The number in the denominator in which the person is reviewed within 2 weeks of the change in medication.,The number of changes to dose or type of chronic heart failure medication in adults with chronic heart failure.
9,9.4,Renal impairment.,Outcome,14,9.4.O1,1,,
9,9.4,"Hospital admissions, inpatient hospital days and readmissions.",Outcome,15,9.4.O2,2,,
9,9.5,Evidence of local arrangements to ensure that adults with stable chronic heart failure have a review of their condition at least every 6 months.,Structure,16,9.5.S1,1,,
9,9.5,Proportion of adults with stable chronic heart failure who have had a review of their condition during the past 6 months.,Process,17,9.5.P1,1,The number in the denominator who have had a review of their condition during the past 6 months.,The number of adults with stable chronic heart failure.
9,9.5,Quality of life.,Outcome,18,9.5.O1,1,,
9,9.5,Renal impairment.,Outcome,19,9.5.O2,2,,
9,9.6,Evidence of local arrangements to ensure that adults with stable chronic heart failure are offered an exercise?based programme of cardiac rehabilitation.,Structure,20,9.6.S1,1,,
9,9.6,Proportion of adults diagnosed with stable chronic heart failure who have been referred to an exercise?based programme of cardiac rehabilitation.,Process,21,9.6.P1,1,The number in the denominator who have a record of referral to an exercise?based programme of cardiac rehabilitation.,The number of adults with stable chronic heart failure.
9,9.6,Rates of uptake of and adherence to programmes of cardiac rehabilitation.,Outcome,22,9.6.O1,1,,
9,9.6,Patient experience of programmes of cardiac rehabilitation.,Outcome,23,9.6.O2,2,,
9,9.7,"Evidence of local arrangements to provide programmes of cardiac rehabilitation during and outside working hours, and the choice of undertaking programmes at home, in the community or in a hospital setting.",Structure,24,9.7.S1,1,,
9,9.7,"Proportion of people referred to a programme of cardiac rehabilitation who are offered sessions during and outside working hours, and the choice of undertaking the programme at home, in the community or in a hospital setting.",Process,25,9.7.P1,1,"The number in the denominator offered sessions during and outside working hours, and the choice of undertaking the programme at home, in the community or in a hospital setting.",The number of adults with chronic heart failure referred to a programme of cardiac rehabilitation.
9,9.7,Rates of uptake of and adherence to programmes of cardiac rehabilitation.,Outcome,26,9.7.O1,1,,
9,9.7,Patient experience of programmes of cardiac rehabilitation.,Outcome,27,9.7.O2,2,,
10,10.1,Evidence of local arrangements and written clinical protocols to ensure that people aged over 35 years presenting with a risk factor and one or more symptoms of COPD have post?bronchodilator spirometry.,Structure,1,10.1.S1,1,,
10,10.1,Evidence of local arrangements and written clinical protocols to ensure that healthcare professionals in primary care using post?bronchodilator spirometry are trained and competent in its use.,Structure,2,10.1.S2,2,,
10,10.1,Evidence of local arrangements to ensure that primary care services providing post?bronchodilator spirometry are supported by quality control processes.,Structure,3,10.1.S3,3,,
10,10.1,Proportion of people aged over 35 years presenting with a risk factor and one or more symptoms of COPD who have post?bronchodilator spirometry.,Process,4,10.1.P1,1,The number in the denominator who have post?bronchodilator spirometry.,The number of people aged over 35 years presenting with a risk factor and one or more symptoms of COPD.
10,10.1,COPD incidence.,Outcome,5,10.1.O1,1,,
10,10.2,Evidence of local arrangements and written clinical protocols to ensure that people with COPD who are prescribed an inhaler have their technique assessed at the start of treatment and then regularly during their treatment.,Structure,6,10.2.S1,1,,
10,10.2,"Evidence of local arrangements and written clinical protocols to ensure that healthcare professionals in primary, community and secondary care services are trained and competent in teaching inhaler technique.",Structure,7,10.2.S2,2,,
10,10.2,Proportion of people with COPD prescribed an inhaler who have their inhaler technique assessed at the start of treatment.,Process,8,10.2.P1,1,The number in the denominator who have their inhaler technique assessed at the start of treatment.,The number of people with COPD prescribed an inhaler.
10,10.2,Proportion of people with COPD prescribed an inhaler who have their inhaler technique assessed at their annual review.,Process,9,10.2.P2,2,The number in the denominator whose last inhaler annual review was no longer than 12 months since the previous one or since inhaler initiation.,The number of people with COPD prescribed an inhaler for more than 12 months.
10,10.2,Proportion of people with COPD prescribed an inhaler who have their inhaler technique assessed after a change in treatment.,Process,10,10.2.P3,3,The number in the denominator who had their inhaler technique assessed after a change in treatment.,The number of people with COPD prescribed an inhaler who have had their inhaler changed.
10,10.2,Proportion of people with COPD prescribed an inhaler who have their inhaler technique assessed after an acute exacerbation.,Process,11,10.2.P4,4,The number in the denominator who had their inhaler technique assessed after an acute exacerbation.,The number of people with COPD prescribed an inhaler who have had an acute exacerbation.
10,10.2,Exacerbation rates.,Outcome,12,10.2.O1,1,,
10,10.2,Hospital admissions.,Outcome,13,10.2.O2,2,,
10,10.3,Evidence of local arrangements and written clinical protocols to ensure that people with stable COPD and a persistent resting stable oxygen saturation level of 92% or less have their arterial blood gases measured to assess whether they need LTOT.,Structure,14,10.3.S1,1,,
10,10.3,Proportion of people with stable COPD and a persistent resting stable oxygen saturation level of 92% or less who have their arterial blood gases measured to assess whether they need LTOT.,Process,15,10.3.P1,1,The number in the denominator who have their arterial blood gases measured to assess whether they need LTOT.,The number of people with stable COPD and a persistent resting stable oxygen saturation level of 92% or less.
10,10.3,Hospital admission for acute exacerbation.,Outcome,16,10.3.O1,1,,
10,10.3,Quality of life.,Outcome,17,10.3.O2,2,,
10,10.4,Evidence of local arrangements and written clinical protocols to ensure that people with stable COPD and exercise limitation due to breathlessness are referred to a pulmonary rehabilitation programme.,Structure,18,10.4.S1,1,,
10,10.4,Proportion of people with stable COPD and exercise limitation due to breathlessness who are referred to a pulmonary rehabilitation programme.,Process,19,10.4.P1,1,The number in the denominator who are referred to a pulmonary rehabilitation programme.,The number of people with stable COPD and exercise limitation due to breathlessness.
10,10.4,Proportion of referrals of people with stable COPD and exercise limitation due to breathlessness that result in the person attending a pulmonary rehabilitation programme.,Process,20,10.4.P2,2,The number in the denominator that result in the person attending a pulmonary rehabilitation programme.,The number of referrals of people with stable COPD and exercise limitation due to breathlessness to pulmonary rehabilitation programmes.
